,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4
0,2023 62.01.03.067.00,Рязань,Яр.пшеница мягкая,2023-04-18,2023-08-31,778.7070938215103,4.37,3402.95,11.55294117647059,18.020588235294117,19.500000000000004,20.314705882352943,10.442417902120198,17.14220087205185,19.891662602819782,19.456596782667777
1,2023 16.13.19.056.00,Татарстан,Оз.пшеница мягкая,2022-08-14,2023-08-07,0.0,3.94,0.0,10.585393258426969,-6.5550561797752795,2.68876404494382,17.753932584269666,9.725087364077506,-5.584067164797412,1.4106912326945387,18.165899151984554
2,2023 16.13.19.057.00,Татарстан,Оз.пшеница мягкая,2022-08-14,2023-08-07,7.926395939086294,3.94,31.23,10.585393258426969,-6.5550561797752795,2.68876404494382,17.753932584269666,9.725087364077506,-5.584067164797412,1.4106912326945387,18.165899151984554
3,2023 16.13.19.032.00,Татарстан,Оз.пшеница мягкая,2022-08-15,2023-08-05,0.0,3.94,0.0,10.451685393258424,-6.8438202247191,3.0662921348314605,17.98876404494382,9.502269434632135,-5.760199021948394,1.5896966108803428,18.26136521546567
4,2023 16.13.19.033.00,Татарстан,Оз.пшеница мягкая,2022-08-16,2023-08-05,4.294416243654821,3.94,16.919999999999995,10.529545454545456,-6.556818181818181,2.6863636363636365,17.527272727272727,9.21546272754928,-5.758424930600041,1.0396571468136948,18.1234420343922
5,2023 16.13.19.038.00,Татарстан,Оз.пшеница мягкая,2022-08-16,2023-07-27,0.0,3.94,0.0,10.641860465116281,-6.1534883720930225,1.6755813953488368,16.680232558139537,9.343147907259727,-5.350353700965669,-0.1132427523801686,17.355632038701387
6,2023 16.13.19.046.00,Татарстан,Оз.пшеница мягкая,2022-08-15,2023-07-21,0.0,3.94,0.0,10.708235294117644,-6.288235294117646,1.2000000000000002,16.341176470588234,9.788170349203059,-5.056805035658971,-0.6418975540856635,16.85706678101586
7,2023 16.13.19.047.00,Татарстан,Оз.пшеница мягкая,2022-08-15,2023-07-23,0.0,3.94,0.0,10.708235294117644,-6.288235294117646,1.2000000000000002,16.341176470588234,9.788170349203059,-5.056805035658971,-0.6418975540856635,16.85706678101586
8,2023 16.13.19.048.00,Татарстан,Оз.пшеница мягкая,2022-08-15,2023-07-24,0.0,3.94,0.0,10.608139534883719,-6.256976744186045,1.5930232558139534,16.625581395348835,9.667900926537907,-5.073263962305642,-0.21047309344971352,17.224038872709475
9,2023 16.13.19.055.00,Татарстан,Оз.пшеница мягкая,2022-08-15,2023-08-07,0.0,3.94,0.0,10.451685393258424,-6.8438202247191,3.0662921348314605,17.98876404494382,9.502269434632135,-5.760199021948394,1.5896966108803428,18.26136521546567
10,2023 16.13.19.058.00,Татарстан,Оз.пшеница мягкая,2022-08-15,2023-08-08,5.723350253807106,3.94,22.549999999999997,10.451685393258424,-6.8438202247191,3.0662921348314605,17.98876404494382,9.502269434632135,-5.760199021948394,1.5896966108803428,18.26136521546567
11,2023 40.10.08.015.00,Калуга,Оз.рапс,2022-08-15,2023-08-07,0.11612903225806451,3.1,0.36,10.451685393258424,-6.8438202247191,3.0662921348314605,17.98876404494382,9.502269434632135,-5.760199021948394,1.5896966108803428,18.26136521546567
12,2023 40.10.08.016.00,Калуга,Оз.рапс,2022-08-15,2023-08-07,0.035483870967741936,3.1,0.11,10.451685393258424,-6.8438202247191,3.0662921348314605,17.98876404494382,9.502269434632135,-5.760199021948394,1.5896966108803428,18.26136521546567
13,2023 40.10.08.013.00,Калуга,Оз.рапс,2022-08-17,2023-08-05,0.08387096774193549,3.1,0.26,10.303409090909092,-6.444318181818181,2.6352272727272723,17.478409090909096,9.008458573776718,-6.057304492482479,1.1445253612135227,18.2799372818397
14,2023 40.10.08.014.00,Калуга,Оз.рапс,2022-08-16,2023-08-07,0.04838709677419355,3.1,0.15,10.519101123595508,-6.795505617977526,3.2022471910112364,18.02808988764045,9.197873258700412,-6.027225856290749,1.687064854034113,18.38553362384774
15,2023 62.24.11.023.00,Рязань,Кукуруза силос,2023-05-16,2023-09-10,1.07012987012987,7.7,8.24,18.8,19.824137931034482,21.579310344827594,16.86206896551724,16.261793290346695,20.17191831248997,19.938492121628666,16.644181273415395
16,2023 16.13.12.071.00,Татарстан,Оз.пшеница мягкая,2022-08-17,2023-08-09,0.0,3.94,0.0,10.269662921348315,-6.591011235955056,3.1651685393258426,17.897752808988766,8.972408477442148,-6.302015513531594,1.7887968554345337,18.534603800612004
17,2023 40.10.08.007.00,Калуга,Оз.рапс,2022-08-18,2023-08-05,0.03225806451612903,3.1,0.1,10.171590909090911,-6.198863636363639,2.6625000000000005,17.56931818181818,8.663577285368476,-6.235667074133274,1.2669621729969314,18.418518502168624
18,2023 40.10.08.022.00,Калуга,Оз.рапс,2022-08-18,2023-08-01,0.33870967741935487,3.1,1.05,10.204597701149428,-6.039080459770116,2.2448275862068963,17.065517241379315,8.696491966809493,-6.051211140119479,0.6792009076184413,18.148833185269325
19,2023 54.28.09.025.00,Новосибирск,Оз.пшеница мягкая,2022-08-18,2023-09-21,0.5525,4.0,2.21,8.356000000000003,-6.202999999999999,8.979,19.012999999999995,7.255441242691078,-6.732316676525649,8.377391934192437,18.927873463883678
20,2023 40.10.04.006.01,Калуга,Оз.рапс,2022-08-18,2023-08-03,0.13870967741935483,3.1,0.43,10.204597701149428,-6.039080459770116,2.2448275862068963,17.065517241379315,8.696491966809493,-6.051211140119479,0.6792009076184413,18.148833185269325
21,2023 40.10.04.006.02,Калуга,Оз.рапс,2022-08-18,2023-08-02,1.6032258064516127,3.1,4.97,10.204597701149428,-6.039080459770116,2.2448275862068963,17.065517241379315,8.696491966809493,-6.051211140119479,0.6792009076184413,18.148833185269325
