field;region;land_type;fertility_score;season;crop;crop_predecessor;crop_yearold;area;hybrid;reproduction;seed_origin;technology;yield_plan;p2o5;k2o;humus;ph;
22.47.01.001.01;Алтай;пашня;;2023;Оз.пшеница мягкая;"Пар; Яр.пшеница мягкая";;306,22;Скипетр;ЭС;Покупные;минимальная;3,80;243,16;226,93;4,46;5,78;
22.47.01.001.02;Алтай;пашня;;2023;Пар;"Пар; Яр.пшеница мягкая";;63,16;;;;минимальная;;243,16;226,93;4,46;5,78;
22.47.01.002.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;485,79;;;;;;219,78;204,60;3,85;5,72;
22.47.01.003.00;Алтай;пашня;4;2023;Оз.пшеница мягкая;Пар;;452,25;Скипетр;ЭС;Покупные;минимальная;3,80;205,15;192,28;6,49;5,94;
22.47.01.004.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;269,64;Скипетр;ЭС;Покупные;минимальная;3,80;183,26;162,69;6,16;5,94;
22.47.01.005.00;Алтай;пашня;;2023;Пар;"Яр.пшеница мягкая; Пар";;176,76;;;;;;230,23;248,93;3,52;5,83;
22.47.01.006.01;Алтай;пашня;2;2023;Пар;Яр.пшеница мягкая;;78,63;;;;;;214,17;215,49;4,40;5,67;
22.47.01.006.02;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;63,33;Скипетр;РС-1;Покупные;минимальная;3,80;214,17;215,49;4,40;5,67;
22.47.01.007.01;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;134,42;;;;;;202,62;188,54;4,84;5,56;
22.47.01.007.02;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;85,55;Скипетр;ЭС;Покупные;минимальная;3,80;202,62;188,54;4,84;5,56;
22.47.01.008.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;32,32;Скипетр;ЭС;Покупные;минимальная;3,80;273,90;166,65;4,07;5,72;
22.47.01.009.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;344,23;;;;;;189,97;182,27;5,50;5,94;
22.47.01.010.00;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;56,74;Скипетр;РС-1;Покупные;минимальная;3,80;211,97;166,76;4,51;5,72;
22.47.01.011.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;80,95;Скипетр;ЭС;Покупные;минимальная;3,80;275,66;158,84;5,28;5,72;
22.47.01.012.00;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;23,95;Скипетр;ЭС;Покупные;минимальная;3,80;274,12;180,62;4,51;5,72;
22.47.01.013.01;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;421,31;Скипетр;ЭС;Покупные;минимальная;3,80;230,23;190,91;5,39;5,78;
22.47.01.013.02;Алтай;пашня;2;2023;Пар;Пар;;7,92;;;;;;230,23;190,91;5,39;5,78;
22.47.01.014.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;91,49;;;;;;180,95;283,69;4,18;5,61;
22.47.01.015.00;Алтай;пашня;4;2023;Пар;"Пар; Яр.пшеница мягкая";;214,13;;;;минимальная;;170,06;287,65;4,07;5,83;
22.47.01.016.00;Алтай;пашня;3;2023;Пар;Пар;;11,04;;;;;;173,25;290,95;3,41;6,93;
22.47.01.017.00;Алтай;пашня;3;2023;Пар;Пар;;195,52;;;;;;147,18;262,02;4,18;6,27;
22.47.01.018.00;Алтай;пашня;3;2023;Пар;Пар;;139,88;;;;;;124,85;230,01;3,41;5,72;
22.47.01.019.00;Алтай;пашня;3;2023;Пар;Пар;;51,67;;;;;;165,33;234,30;3,74;6,27;
22.47.01.020.00;Алтай;пашня;3;2023;Пар;Пар;;6,82;;;;;;146,30;268,40;3,08;6,16;
22.47.01.021.00;Алтай;пашня;2;2023;Залежь, лес;Залежь, лес;;32,08;;;;;;134,42;268,62;3,19;5,83;
22.47.01.022.00;Алтай;пашня;2;2023;Пар;Пар;;2,64;;;;;;125,40;266,20;3,08;6,16;
