field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
46.11.01.001.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",123.77,ГЛ Мелани,Свои,нулевая с прямым посевом,2.09,105.6,188.1,6.05,5.72,Черноземы,"(2023, '46.11.01.001.00')",0.75
46.11.01.002.00,Курск,пашня,4.0,2023,Пар,"Залежь, лес",192.0,(нет сорта),Покупные,минимальная,2.0,61.6,143.0,6.6,5.28,Черноземы,"(2023, '46.11.01.002.00')",1.0
46.11.01.003.00,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",8.18,Грэйс,Свои,минимальная,5.18,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.11.01.003.00')",0.25
46.22.01.001.01,Курск,пашня,4.0,2023,Соя,"Залежь, лес",55.07,ОАК Пруденс,Свои,нулевая с прямым посевом,2.09,103.57,93.92,5.69,5.4,Черноземы,"(2023, '46.22.01.001.01')",0.5
46.22.01.001.02,Курск,пашня,4.0,2023,Соя,"Залежь, лес",194.75,ОАК Пруденс,Свои,нулевая с прямым посевом,2.09,103.57,93.92,5.69,5.4,Черноземы,"(2023, '46.22.01.001.02')",0.75
46.22.01.002.00,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",162.45,Эксплоер,Свои,минимальная,5.18,61.67,88.69,5.32,5.48,Черноземы,"(2023, '46.22.01.002.00')",1.0
46.22.01.003.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",217.98,Ликамеро,Свои,минимальная,5.0,130.01,99.0,5.84,5.58,Черноземы,"(2023, '46.22.01.003.00')",1.0
46.22.01.004.00,Курск,пашня,4.0,2023,Чечевица,"Залежь, лес",50.69,Кермит,Свои,минимальная,2.0,73.39,103.71,6.14,5.59,Черноземы,"(2023, '46.22.01.004.00')",0.5
46.22.01.005.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",127.06,Ликамеро,Свои,минимальная,5.0,116.77,111.44,5.66,5.72,Черноземы,"(2023, '46.22.01.005.00')",1.0
46.22.01.006.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",68.8,Ликамеро,Свои,минимальная,5.0,126.03,90.99,5.47,5.53,Черноземы,"(2023, '46.22.01.006.00')",0.75
46.22.01.008.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",104.67,Ликамеро,Свои,минимальная,5.0,90.86,99.55,5.61,5.47,Черноземы,"(2023, '46.22.01.008.00')",1.0
46.22.01.009.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",41.48,Ликамеро,Свои,минимальная,5.0,81.13,79.48,5.77,5.69,Черноземы,"(2023, '46.22.01.009.00')",0.5
46.22.01.010.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",6.34,Ликамеро,Свои,минимальная,5.0,58.3,89.1,5.5,5.72,Черноземы,"(2023, '46.22.01.010.00')",0.25
46.22.01.011.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",230.46,Ликамеро,Свои,минимальная,5.0,164.95,98.95,5.92,6.27,Черноземы,"(2023, '46.22.01.011.00')",1.0
46.22.01.012.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",39.8,Канюк,Свои,минимальная,5.0,43.73,97.08,5.23,5.5,Черноземы,"(2023, '46.22.01.012.00')",0.5
46.22.01.013.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",6.26,Канюк,Свои,минимальная,5.0,40.7,94.6,6.71,5.39,Черноземы,"(2023, '46.22.01.013.00')",0.25
46.22.01.014.01,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,"Залежь, лес",15.7,Памяти Янченко,Покупные,нулевая с прямым посевом,3.84,119.63,77.6,5.5,5.98,Черноземы,"(2023, '46.22.01.014.01')",0.25
