field;region;land_type;fertility_score;season;crop;crop_predecessor;crop_yearold;area;hybrid;reproduction;seed_origin;technology;yield_plan;p2o5;k2o;humus;ph
22.47.01.001.01;Алтай;пашня;;2023;Оз.пшеница мягкая;"Пар; Яр.пшеница мягкая";;306,22;Скипетр;ЭС;Покупные;минимальная;3,80;221,05;206,30;4,05;5,25
22.47.01.001.02;Алтай;пашня;;2023;Пар;"Пар; Яр.пшеница мягкая";;63,16;;;;минимальная;;221,05;206,30;4,05;5,25
22.47.01.002.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;485,79;;;;;;199,80;186,00;3,50;5,20
22.47.01.003.00;Алтай;пашня;4;2023;Оз.пшеница мягкая;Пар;;452,25;Скипетр;ЭС;Покупные;минимальная;3,80;186,50;174,80;5,90;5,40
22.47.01.004.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;269,64;Скипетр;ЭС;Покупные;минимальная;3,80;166,60;147,90;5,60;5,40
22.47.01.005.00;Алтай;пашня;;2023;Пар;"Яр.пшеница мягкая; Пар";;176,76;;;;;;209,30;226,30;3,20;5,30
22.47.01.006.01;Алтай;пашня;2;2023;Пар;Яр.пшеница мягкая;;78,63;;;;;;194,70;195,90;4,00;5,15
22.47.01.006.02;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;63,33;Скипетр;РС-1;Покупные;минимальная;3,80;194,70;195,90;4,00;5,15
22.47.01.007.01;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;134,42;;;;;;184,20;171,40;4,40;5,05
22.47.01.007.02;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;85,55;Скипетр;ЭС;Покупные;минимальная;3,80;184,20;171,40;4,40;5,05
22.47.01.008.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;32,32;Скипетр;ЭС;Покупные;минимальная;3,80;249,00;151,50;3,70;5,20
22.47.01.009.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;344,23;;;;;;172,70;165,70;5,00;5,40
22.47.01.010.00;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;56,74;Скипетр;РС-1;Покупные;минимальная;3,80;192,70;151,60;4,10;5,20
22.47.01.011.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;80,95;Скипетр;ЭС;Покупные;минимальная;3,80;250,60;144,40;4,80;5,20
22.47.01.012.00;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;23,95;Скипетр;ЭС;Покупные;минимальная;3,80;249,20;164,20;4,10;5,20
22.47.01.013.01;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;421,31;Скипетр;ЭС;Покупные;минимальная;3,80;209,30;173,55;4,90;5,25
22.47.01.013.02;Алтай;пашня;2;2023;Пар;Пар;;7,92;;;;;;209,30;173,55;4,90;5,25
22.47.01.014.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;91,49;;;;;;164,50;257,90;3,80;5,10
22.47.01.015.00;Алтай;пашня;4;2023;Пар;"Пар; Яр.пшеница мягкая";;214,13;;;;минимальная;;154,60;261,50;3,70;5,30
22.47.01.016.00;Алтай;пашня;3;2023;Пар;Пар;;11,04;;;;;;157,50;264,50;3,10;6,30
22.47.01.017.00;Алтай;пашня;3;2023;Пар;Пар;;195,52;;;;;;133,80;238,20;3,80;5,70
22.47.01.018.00;Алтай;пашня;3;2023;Пар;Пар;;139,88;;;;;;113,50;209,10;3,10;5,20
22.47.01.019.00;Алтай;пашня;3;2023;Пар;Пар;;51,67;;;;;;150,30;213,00;3,40;5,70
22.47.01.020.00;Алтай;пашня;3;2023;Пар;Пар;;6,82;;;;;;133,00;244,00;2,80;5,60
22.47.01.021.00;Алтай;пашня;2;2023;Залежь, лес;Залежь, лес;;32,08;;;;;;122,20;244,20;2,90;5,30
22.47.01.022.00;Алтай;пашня;2;2023;Пар;Пар;;2,64;;;;;;114,00;242,00;2,80;5,60
22.47.01.023.00;Алтай;пашня;3;2023;Пар;Пар;;83,58;;;;;;165,90;270,10;3,50;5,60
22.47.01.024.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;130,48;;;;минимальная;;151,30;218,10;3,80;4,90
22.47.01.025.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;75,44;;;;минимальная;;159,40;283,00;3,40;4,90
22.47.01.026.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;32,55;;;;минимальная;;156,50;282,80;3,40;5,10
22.47.01.027.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;108,79;;;;минимальная;;160,60;282,60;3,20;5,10
22.47.01.028.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;138,97;;;;минимальная;;150,50;248,90;3,70;5,10
22.47.01.029.01;Алтай;пашня;3;2023;Пар;Пар;;11,02;;;;;;155,00;210,00;4,50;5,20
22.47.01.029.02;Алтай;пашня;3;2023;Залежь, лес;Залежь, лес;;12,32;;;;;;155,00;210,00;4,50;5,20
22.47.01.030.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;152,41;Ликамеро;ЭС;Покупные;минимальная;3,30;236,40;112,90;3,30;6,10
22.47.01.031.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;86,21;Ликамеро;ЭС;Покупные;минимальная;3,30;215,10;150,60;3,90;6,10
22.47.01.032.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;196,25;Ликамеро;ЭС;Покупные;минимальная;3,30;219,80;144,00;3,10;6,10
22.47.01.033.00;Алтай;пашня;3;2023;Пар;Оз.пшеница мягкая;;237,17;;;;;;240,00;122,80;3,30;5,70
22.47.01.034.00;Алтай;пашня;3;2023;Залежь, лес;Залежь, лес;;147,71;;;;;;;;;
22.47.01.035.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;116,80;;;;;3,30;263,40;229,80;3,90;5,80
22.47.01.036.00;Алтай;пашня;3;2023;Залежь;Залежь;;4,83;;;;;;183,00;291,00;3,50;4,80
22.47.01.037.00;Алтай;пашня;3;2023;Пар;Пар;;44,46;;;;;;160,00;254,60;3,80;5,60
22.47.01.038.01;Алтай;пашня;3;2023;Пар;Пар;;62,86;;;;;;150,15;259,30;3,35;5,65
22.47.01.038.02;Алтай;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;76,30;;;;;;150,15;259,30;3,35;5,65
22.47.03.001.00;Алтай;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;96,97;;;;;;155,40;156,90;2,90;5,20
22.47.03.002.00;Алтай;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;95,07;;;;;;167,10;181,60;3,60;5,20
22.47.03.003.00;Алтай;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;40,86;;;;;;;;;
22.47.03.004.00;Алтай;пашня;2;2023;Залежь, лес;Залежь, кустарник;;314,27;;;;;;;;;
22.47.03.005.00;Алтай;пашня;2;2023;Залежь, лес;Залежь, кустарник;;239,66;;;;;;;;;
22.47.05.001.00;Алтай;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;199,71;;;Покупные;минимальная;0,00;152,50;351,70;3,20;5,10
22.47.05.002.00;Алтай;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;75,50;;;Покупные;минимальная;0,00;148,60;331,90;2,80;5,10
22.47.05.003.00;Алтай;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;192,85;;;Покупные;минимальная;0,00;152,90;277,00;3,00;5,20
22.47.05.004.00;Алтай;пашня;3;2023;Кукуруза силос;Пар;;316,08;П 7043;F1;Покупные;классическая с плугом;8,50;146,90;294,30;3,30;5,00
22.47.05.005.00;Алтай;пашня;3;2023;Кукуруза силос;Оз.пшеница мягкая;;365,03;;;Покупные;классическая с плугом;8,50;161,40;255,20;3,30;5,00
22.47.05.006.01;Алтай;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;5;196,29;Дакота;;Покупные;минимальная;3,80;140,90;261,80;3,50;5,30
22.47.05.006.02;Алтай;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;31,71;;;;;;140,90;261,80;3,50;5,30
22.47.05.007.01;Алтай;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;5;216,53;;;;классическая с плугом;3,80;168,15;227,55;3,45;5,05
