field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph
22.47.01.001.01,Алтай,пашня,,2023,Оз.пшеница мягкая,Пар; Яр.пшеница мягкая,,306.22,Скипетр,ЭС,Покупные,минимальная,3.8,243.16,226.93,4.46,5.78
22.47.01.001.02,Алтай,пашня,,2023,Пар,Пар; Яр.пшеница мягкая,,63.16,,,,минимальная,,243.16,226.93,4.46,5.78
22.47.01.002.00,Алтай,пашня,4.0,2023,Пар,Яр.пшеница мягкая,,485.79,,,,,,219.78,204.6,3.85,5.72
22.47.01.003.00,Алтай,пашня,4.0,2023,Оз.пшеница мягкая,Пар,,452.25,Скипетр,ЭС,Покупные,минимальная,3.8,205.15,192.28,6.49,5.94
22.47.01.004.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,269.64,Скипетр,ЭС,Покупные,минимальная,3.8,183.26,162.69,6.16,5.94
22.47.01.005.00,Алтай,пашня,,2023,Пар,Яр.пшеница мягкая; Пар,,176.76,,,,,,230.23,248.93,3.52,5.83
22.47.01.006.01,Алтай,пашня,2.0,2023,Пар,Яр.пшеница мягкая,,78.63,,,,,,214.17,215.49,4.4,5.67
22.47.01.006.02,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Пар,,63.33,Скипетр,РС-1,Покупные,минимальная,3.8,214.17,215.49,4.4,5.67
22.47.01.007.01,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,134.42,,,,,,202.62,188.54,4.84,5.56
22.47.01.007.02,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,85.55,Скипетр,ЭС,Покупные,минимальная,3.8,202.62,188.54,4.84,5.56
22.47.01.008.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,32.32,Скипетр,ЭС,Покупные,минимальная,3.8,273.9,166.65,4.07,5.72
22.47.01.009.00,Алтай,пашня,4.0,2023,Пар,Яр.пшеница мягкая,,344.23,,,,,,189.97,182.27,5.5,5.94
22.47.01.010.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Пар,,56.74,Скипетр,РС-1,Покупные,минимальная,3.8,211.97,166.76,4.51,5.72
22.47.01.011.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,80.95,Скипетр,ЭС,Покупные,минимальная,3.8,275.66,158.84,5.28,5.72
22.47.01.012.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Пар,,23.95,Скипетр,ЭС,Покупные,минимальная,3.8,274.12,180.62,4.51,5.72
22.47.01.013.01,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Пар,,421.31,Скипетр,ЭС,Покупные,минимальная,3.8,230.23,190.91,5.39,5.78
22.47.01.013.02,Алтай,пашня,2.0,2023,Пар,Пар,,7.92,,,,,,230.23,190.91,5.39,5.78
22.47.01.014.00,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,91.49,,,,,,180.95,283.69,4.18,5.61
22.47.01.015.00,Алтай,пашня,4.0,2023,Пар,Пар; Яр.пшеница мягкая,,214.13,,,,минимальная,,170.06,287.65,4.07,5.83
22.47.01.016.00,Алтай,пашня,3.0,2023,Пар,Пар,,11.04,,,,,,173.25,290.95,3.41,6.93
22.47.01.017.00,Алтай,пашня,3.0,2023,Пар,Пар,,195.52,,,,,,147.18,262.02,4.18,6.27
22.47.01.018.00,Алтай,пашня,3.0,2023,Пар,Пар,,139.88,,,,,,124.85,230.01,3.41,5.72
22.47.01.019.00,Алтай,пашня,3.0,2023,Пар,Пар,,51.67,,,,,,165.33,234.3,3.74,6.27
22.47.01.020.00,Алтай,пашня,3.0,2023,Пар,Пар,,6.82,,,,,,146.3,268.4,3.08,6.16
22.47.01.021.00,Алтай,пашня,2.0,2023,"Залежь, лес","Залежь, лес",,32.08,,,,,,134.42,268.62,3.19,5.83
22.47.01.022.00,Алтай,пашня,2.0,2023,Пар,Пар,,2.64,,,,,,125.4,266.2,3.08,6.16
22.47.01.023.00,Алтай,пашня,3.0,2023,Пар,Пар,,83.58,,,,,,182.49,297.11,3.85,6.16
22.47.01.024.00,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,130.48,,,,минимальная,,166.43,239.91,4.18,5.39
22.47.01.025.00,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,75.44,,,,минимальная,,175.34,311.3,3.74,5.39
22.47.01.026.00,Алтай,пашня,4.0,2023,Пар,Яр.пшеница мягкая,,32.55,,,,минимальная,,172.15,311.08,3.74,5.61
22.47.01.027.00,Алтай,пашня,4.0,2023,Пар,Яр.пшеница мягкая,,108.79,,,,минимальная,,176.66,310.86,3.52,5.61
22.47.01.028.00,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,138.97,,,,минимальная,,165.55,273.79,4.07,5.61
22.47.01.029.01,Алтай,пашня,3.0,2023,Пар,Пар,,11.02,,,,,,170.5,231.0,4.95,5.72
22.47.01.029.02,Алтай,пашня,3.0,2023,"Залежь, лес","Залежь, лес",,12.32,,,,,,170.5,231.0,4.95,5.72
22.47.01.030.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,152.41,Ликамеро,ЭС,Покупные,минимальная,3.3,260.04,124.19,3.63,6.71
22.47.01.031.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,86.21,Ликамеро,ЭС,Покупные,минимальная,3.3,236.61,165.66,4.29,6.71
22.47.01.032.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,196.25,Ликамеро,ЭС,Покупные,минимальная,3.3,241.78,158.4,3.41,6.71
22.47.01.033.00,Алтай,пашня,3.0,2023,Пар,Оз.пшеница мягкая,,237.17,,,,,,264.0,135.08,3.63,6.27
22.47.01.035.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Оз.пшеница мягкая,,116.8,,,,,3.3,289.74,252.78,4.29,6.38
22.47.01.036.00,Алтай,пашня,3.0,2023,Залежь,Залежь,,4.83,,,,,,201.3,320.1,3.85,5.28
22.47.01.037.00,Алтай,пашня,3.0,2023,Пар,Пар,,44.46,,,,,,176.0,280.06,4.18,6.16
22.47.01.038.01,Алтай,пашня,3.0,2023,Пар,Пар,,62.86,,,,,,165.17,285.23,3.69,6.22
22.47.01.038.02,Алтай,пашня,3.0,2023,"Залежь, кустарник","Залежь, кустарник",,76.3,,,,,,165.17,285.23,3.69,6.22
22.47.03.001.00,Алтай,пашня,2.0,2023,"Залежь, кустарник","Залежь, кустарник",,96.97,,,,,,170.94,172.59,3.19,5.72
22.47.03.002.00,Алтай,пашня,2.0,2023,"Залежь, кустарник","Залежь, кустарник",,95.07,,,,,,183.81,199.76,3.96,5.72
22.47.05.001.00,Алтай,пашня,3.0,2023,Люцерна 1 г.ж.корм,Оз.пшеница мягкая,1.0,199.71,,,Покупные,минимальная,,167.75,386.87,3.52,5.61
22.47.05.002.00,Алтай,пашня,3.0,2023,Люцерна 1 г.ж.корм,Оз.пшеница мягкая,1.0,75.5,,,Покупные,минимальная,,163.46,365.09,3.08,5.61
22.47.05.003.00,Алтай,пашня,3.0,2023,Люцерна 1 г.ж.корм,Оз.пшеница мягкая,1.0,192.85,,,Покупные,минимальная,,168.19,304.7,3.3,5.72
22.47.05.004.00,Алтай,пашня,3.0,2023,Кукуруза силос,Пар,,316.08,П 7043,F1,Покупные,классическая с плугом,8.5,161.59,323.73,3.63,5.5
22.47.05.005.00,Алтай,пашня,3.0,2023,Кукуруза силос,Оз.пшеница мягкая,,365.03,,,Покупные,классическая с плугом,8.5,177.54,280.72,3.63,5.5
22.47.05.006.01,Алтай,пашня,3.0,2023,Люцерна пр.лет корм,Люцерна пр.лет корм,5.0,196.29,Дакота,,Покупные,минимальная,3.8,154.99,287.98,3.85,5.83
22.47.05.006.02,Алтай,пашня,3.0,2023,"Залежь, кустарник","Залежь, кустарник",,31.71,,,,,,154.99,287.98,3.85,5.83
22.47.05.007.01,Алтай,пашня,3.0,2023,Люцерна пр.лет корм,Люцерна пр.лет корм,5.0,216.53,,,,классическая с плугом,3.8,184.97,250.31,3.8,5.56
22.47.05.007.02,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,177.16,,,,,3.0,184.97,250.31,3.8,5.56
