index,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3,delta_t4,dif_1,dif_2,dif_3,dif_4
14,2023 62.24.11.023.00,Рязань,Кукуруза,2023-05-16,2023-09-10,0.7276113445024308,7.7,8.24,18.8,19.82413793103448,21.579310344827597,16.86206896551724,16.261793290346695,20.17191831248997,19.938492121628663,16.644181273415395,Судецветные,Яровая,2.5382067096533056,-0.34778038145549317,1.6408182231989343,0.21788769210184356,-4.966666666666665,-9.446341463414637,-6.69375,-5.419512195121953
30,2023 54.28.09.028.00,Новосибирск,Пшеница,2023-05-21,2023-09-27,0.6471032420585384,4.0,3.64,18.09375,20.896875,20.865625,14.640625000000002,17.311149220867208,20.50193443186083,19.74138602103351,13.34209801579984,Злаковые,Яровая,0.7826007791327925,0.3949405681391731,1.124238978966492,1.298526984200162,-7.934146341463411,-9.29512195121952,-2.872727272727277,-2.7722222222222204
63,2023 62.23.06.073.00,Рязань,Пшеница,2023-04-30,2023-09-23,1.551917442109386,3.9,14.510000000000002,15.552777777777775,18.21944444444445,20.68611111111112,15.697222222222226,13.779746311352,19.18502506054218,19.675842271436785,15.315056419012604,Злаковые,Яровая,1.7730314664257758,-0.965580616097732,1.0102688396743353,0.382165803209622,-8.119512195121953,-7.934146341463411,-5.297560975609761,-4.956097560975611
64,2023 62.24.14.035.00,Рязань,Кукуруза,2023-05-18,2023-10-04,0.7363559348911821,7.7,8.38,18.262857142857143,19.49714285714285,19.854285714285712,14.391428571428571,17.030348432055746,20.19295549585592,18.59060091331433,12.653287512344182,Судецветные,Яровая,1.2325087108013975,-0.6958126387130683,1.263684800971383,1.7381410590843895,-9.446341463414637,-9.29512195121952,-2.9365853658536576,-2.5487804878048763
72,2023 62.24.14.038.00,Рязань,Кукуруза,2023-05-18,2023-10-05,0.7015533083009575,7.7,7.83,18.262857142857143,19.49714285714285,19.854285714285712,14.391428571428571,17.030348432055746,20.19295549585592,18.59060091331433,12.653287512344182,Судецветные,Яровая,1.2325087108013975,-0.6958126387130683,1.263684800971383,1.7381410590843895,-9.446341463414637,-9.29512195121952,-2.9365853658536576,-2.5487804878048763
86,2023 62.18.07.012.00,Рязань,Пшеница,2023-04-20,2023-08-22,2.24152768523159,3.9,32.79,11.561290322580648,18.380645161290325,18.88387096774193,20.90967741935484,10.609509135413935,16.95274696778816,19.7896542980639,19.553100744090997,Злаковые,Яровая,0.9517811871667128,1.4278981935021662,-0.9057833303219702,1.3565766752638417,-6.375609756097565,-6.300000000000001,-8.939024390243905,-4.717073170731707
87,2023 62.18.07.015.00,Рязань,Пшеница,2023-04-19,2023-08-21,1.8257892178143666,3.9,20.31,11.748387096774197,18.561290322580643,18.667741935483868,21.367741935483878,10.278586414896408,16.78359623473548,19.747716879970007,19.60222673186378,Злаковые,Яровая,1.4698006818777891,1.7776940878451626,-1.079974944486139,1.7655152036200974,-6.109756097560974,-5.509677419354839,-12.034146341463412,-4.612195121951217
95,2023 40.14.07.019.02,Калуга,Пшеница,2022-08-30,2023-09-23,0.6033651704898074,4.6,3.81,4.518556701030929,-6.857731958762887,10.7,18.719587628865973,4.822613449451039,-7.860968860259036,9.686644267214977,18.726010236038466,Злаковые,Озимая,-0.30405674842011,1.003236901496149,1.0133557327850227,-0.006422607172492434,-7.959375000000001,-12.2,-11.287804878048782,-4.900000000000002
115,2023 40.22.02.017.00,Калуга,Пшеница,2023-05-06,2023-09-06,0.42403328083703284,4.98,2.63,15.545161290322582,19.57096774193549,21.006451612903223,18.25806451612903,14.636386484832585,19.186534137004937,20.40997803089219,17.216499368847256,Злаковые,Яровая,0.9087748054899976,0.38443360493055323,0.5964735820110327,1.0415651472817729,-8.397222222222226,-9.29512195121952,-7.551724137931032,-4.300000000000001
116,2023 40.22.02.018.00,Калуга,Пшеница,2023-05-01,2023-09-06,0.5995423730904835,4.98,4.09,14.58125,18.18125,20.590625,18.25,13.589727303523034,18.753362919370574,20.04559451707348,17.723362290973757,Злаковые,Яровая,0.9915226964769666,-0.572112919370575,0.5450304829265207,0.5266377090262431,-8.119512195121953,-9.353658536585364,-6.588571428571427,-5.539024390243901
