level_0,index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3
0,15,2023 62.24.11.023.00,Рязань,Кукуруза,2022-08-16,2023-09-10,0.7276113445024308,7.7,8.24,4.833846153846156,-0.0761538461538455,17.750769230769222,19.32061855670103,4.010218732193241,-1.7579774782048825,18.11281426438292,19.67280876640192,Судецветные,Озимая,0.8236274216529145,1.681823632051037,-0.3620450336136969
1,32,2023 54.28.09.028.00,Новосибирск,Пшеница,2022-08-20,2023-09-27,0.6471032420585384,4.0,3.64,3.8634328358208943,-0.0895522388059694,17.920149253731335,18.52178217821781,3.0160571100468543,-0.967731643016061,18.08156277278943,18.45379945519344,Злаковые,Озимая,0.84737572577404,0.8781794042100916,-0.16141351905809387
2,73,2023 62.23.06.073.00,Рязань,Пшеница,2022-08-26,2023-09-23,1.551917442109386,3.9,14.510000000000002,2.5435114503816783,0.4503816793893131,18.05572519083969,18.757142857142853,1.995566733835726,-0.9604184907503026,18.08580623730605,18.73322781866392,Злаковые,Озимая,0.5479447165459523,1.4108001701396158,-0.03008104646635701
3,74,2023 62.24.14.035.00,Рязань,Кукуруза,2022-08-26,2023-10-04,0.7363559348911821,7.7,8.38,2.093333333333333,1.7681481481481482,17.851111111111116,18.308910891089106,1.4375499417220747,0.3698825701671986,17.727697842976603,17.796218547745962,Судецветные,Озимая,0.6557833916112581,1.3982655779809496,0.12341326813451303
4,86,2023 62.24.14.038.00,Рязань,Кукуруза,2022-08-27,2023-10-05,0.7015533083009575,7.7,7.83,1.7459259259259272,2.0044444444444443,17.66666666666667,18.107920792079195,1.2192577139508929,0.5875424495421738,17.711271669195884,17.73106915522697,Судецветные,Озимая,0.5266682119750343,1.4169019949022705,-0.04460500252921307
5,102,2023 62.18.07.012.00,Рязань,Пшеница,2022-08-28,2023-08-22,2.24152768523159,3.9,32.79,2.735833333333335,-2.441666666666663,17.6075,18.99555555555555,2.767636979952261,-3.728676561008876,17.696278128601293,19.566737759380032,Злаковые,Озимая,-0.031803646618925985,1.287009894342213,-0.08877812860129097
6,103,2023 62.18.07.015.00,Рязань,Пшеница,2022-08-28,2023-08-21,1.8257892178143666,3.9,20.31,2.783193277310926,-2.664705882352937,17.452941176470585,18.90449438202247,2.836218369591329,-3.9732576683817658,17.573858384788902,19.45297299074361,Злаковые,Озимая,-0.05302509228040275,1.3085517860288287,-0.12091720831831765
7,112,2023 40.14.07.019.02,Калуга,Пшеница,2022-08-29,2023-09-23,0.6033651704898074,4.6,3.81,1.932307692307696,0.1130769230769239,18.113076923076925,18.9340206185567,1.6548325754744628,-0.7370670932438781,18.19085109961512,18.965883236306222,Злаковые,Озимая,0.2774751168332332,0.8501440163208019,-0.0777741765381954
8,134,2023 40.22.02.017.00,Калуга,Пшеница,2022-08-30,2023-09-06,0.42403328083703284,4.98,2.63,1.9370967741935503,-0.8322580645161269,18.09112903225806,19.43010752688172,1.98250256615623,-2.2944148936138182,18.25529807777333,19.61061964832581,Злаковые,Озимая,-0.0454057919626798,1.4621568290976912,-0.16416904551526912
9,135,2023 40.22.02.018.00,Калуга,Пшеница,2022-08-30,2023-09-06,0.5995423730904835,4.98,4.09,1.9370967741935503,-0.8322580645161269,18.09112903225806,19.43010752688172,1.98250256615623,-2.2944148936138182,18.25529807777333,19.61061964832581,Злаковые,Озимая,-0.0454057919626798,1.4621568290976912,-0.16416904551526912
10,149,2023 62.17.14.015.00,Рязань,Пшеница,2022-08-30,2023-09-12,0.13864649329129303,3.9,0.58,1.819841269841272,-0.4849206349206334,18.234126984126974,19.33829787234042,1.7705760402857242,-1.6703584951218189,18.24493147172961,19.470885500536145,Злаковые,Озимая,0.049265229555547796,1.1854378602011855,-0.010804487602637636
11,173,2023 40.22.15.001.00,Калуга,Пшеница,2022-08-31,2023-09-07,0.0,4.98,0.0,1.5790322580645164,-0.2379032258064499,18.26209677419354,19.58064516129032,1.7590028875269683,-2.0155956143240674,18.22819752974067,19.49143183176893,Злаковые,Озимая,-0.1799706294624519,1.7776923885176175,0.03389924445287207
12,178,2023 62.17.14.018.00,Рязань,Пшеница,2022-08-31,2023-09-14,0.10689779497671273,3.9,0.44,1.5301587301587305,0.0634920634920651,18.336507936507925,19.222105263157893,1.5431187061058191,-1.3735566509444657,18.21981828130112,19.223746093162596,Злаковые,Озимая,-0.012959975947088642,1.4370487144365307,0.1166896552068053
13,196,2023 54.17.12.099.00,Новосибирск,Ячмень,2022-09-01,2023-09-02,2.0574150147796186,3.5,23.89,1.222131147540984,-0.3786885245901615,17.949999999999996,19.37362637362637,1.6717235731268112,-2.281707870167347,17.99420280645859,19.45314260369696,Злаковые,Озимая,-0.44959242558582724,1.9030193455771856,-0.04420280645859265
14,197,2023 54.17.12.100.00,Новосибирск,Вика,2022-09-01,2023-08-29,0.0,3.2,0.0,1.2752066115702485,-0.5545454545454525,17.765289256198344,19.38888888888889,1.7637419497642228,-2.5294561445764434,17.84943944861369,19.398926542894912,Злаковые,Озимая,-0.4885353381939743,1.974910690030991,-0.08415019241534694
15,201,2023 62.17.14.014.00,Рязань,Пшеница,2022-09-01,2023-09-13,0.1758906664636642,3.9,0.75,1.0039682539682542,0.4642857142857166,18.19444444444444,19.201063829787238,1.2845034158175843,-1.1567449541702923,18.192785024759168,19.219860332397516,Злаковые,Озимая,-0.28053516184933014,1.621030668456009,0.0016594196852715015
16,247,2023 54.17.12.101.00,Новосибирск,Вика,2022-09-03,2023-09-01,0.0,3.2,0.0,0.7776859504132224,-0.4446280991735515,18.03057851239669,19.47472527472527,1.099018152095199,-2.144792574987432,17.80652142971466,19.382090246280296,Злаковые,Озимая,-0.3213322016819765,1.7001644758138807,0.22405708268203028
17,249,2023 62.24.11.011.01,Рязань,Пшеница,2022-09-03,2023-09-03,0.24042918760123536,3.9,1.06,0.7590163934426222,-0.2721311475409815,18.18442622950819,19.47472527472527,1.0000657841951783,-1.8968311271183484,17.934303507826424,19.382090246280296,Злаковые,Озимая,-0.24104939075255616,1.624699979577367,0.2501227216817661
18,261,2023 40.22.01.081.00,Калуга,Пшеница,2022-09-04,2023-08-18,0.4652231446101951,4.98,2.95,0.6310344827586188,-1.4086206896551712,17.33879310344827,19.30574712643677,1.209543555603971,-3.234540224550259,17.32760166111466,19.196095738789268,Злаковые,Озимая,-0.5785090728453522,1.8259195348950876,0.01119144233361169
19,271,2023 62.17.07.023.00,Рязань,Пшеница,2022-09-04,2023-08-29,0.49374697186505545,4.37,2.79,0.6308333333333316,-0.5999999999999991,17.764999999999993,19.46222222222222,1.0149477051271751,-2.2542127777915115,17.80274794060624,19.393891913435542,Злаковые,Озимая,-0.38411437179384356,1.6542127777915123,-0.03774794060624487
20,288,2023 62.17.07.022.00,Рязань,Пшеница,2022-09-05,2023-08-20,0.48673923470765074,4.37,2.74,0.6094827586206899,-1.3181034482758596,17.510344827586206,19.5,1.0154872790036065,-3.00669190957517,17.45458089390965,19.363109540631985,Злаковые,Озимая,-0.40600452038291657,1.6885884612993103,0.05576393367655541
21,294,2023 40.22.15.029.00,Калуга,Пшеница,2022-09-06,2023-08-18,0.7421285676002153,4.98,5.48,0.3382608695652161,-1.2086956521739125,17.535652173913046,19.4093023255814,1.0002542268064292,-3.073124258338141,17.308945609918087,19.16925522841156,Злаковые,Озимая,-0.6619933572412131,1.8644286061642286,0.22670656399495925
22,302,2023 62.01.04.002.00,Рязань,Соя,2022-09-06,2023-09-21,0.6172382173746208,1.71,1.46,-0.5165354330708672,1.896850393700787,18.425984251968497,18.805263157894736,0.0496292205537438,0.1431467479491651,18.246114394724007,18.862278799365825,Бобовые,Озимая,-0.566164653624611,1.753703645751622,0.17986985724449056
23,303,2023 62.17.07.020.00,Рязань,Пшеница,2022-09-06,2023-08-28,0.5388057884216294,4.37,3.12,0.3689075630252089,-0.3126050420168065,17.975630252100842,19.78202247191011,0.8036051006484664,-2.1184320184605894,17.912326095685437,19.53348312686768,Злаковые,Озимая,-0.43469753762325747,1.8058269764437829,0.06330415641540554
24,304,2023 62.23.01.003.00,Рязань,Кукуруза,2022-09-06,2023-09-28,0.6803147404900608,5.49,5.35,-0.8565891472868227,2.6015503875968986,18.44728682170542,18.57731958762886,-0.1476991205476755,0.7856869823983049,18.04308014366111,18.27339556198783,Судецветные,Озимая,-0.7088900267391471,1.8158634051985936,0.4042066780443072
25,305,2023 62.23.06.064.00,Рязань,Пшеница,2022-09-06,2023-08-23,2.4145392076378824,3.9,39.720000000000006,0.3435897435897424,-0.7068376068376065,17.912820512820517,19.84318181818181,0.9161764388102892,-2.62612860308074,17.756982400751472,19.55109559582542,Злаковые,Озимая,-0.5725866952205467,1.9192909962431335,0.15583811206904485
26,326,2023 62.17.07.009.00,Рязань,Пшеница,2022-09-07,2023-08-15,0.5573248361888667,4.37,3.26,0.1087719298245611,-1.2701754385964903,17.342105263157894,19.20941176470588,0.9493608779680928,-3.148260654892994,17.23929281374862,19.126825809123208,Злаковые,Озимая,-0.8405889481435317,1.8780852162965038,0.10281244940927436
27,327,2023 62.17.07.017.00,Рязань,Пшеница,2022-09-07,2023-08-29,0.4853317749397709,4.37,2.73,0.148739495798319,-0.2882352941176463,18.090756302521005,19.80898876404494,0.7327598179473269,-1.9977678573024529,18.0538507339863,19.614712913557707,Злаковые,Озимая,-0.5840203221490079,1.7095325631848066,0.03690556853470284
28,352,2023 62.17.07.004.00,Рязань,Пшеница,2022-09-08,2023-08-15,0.472574691939,4.37,2.64,0.0122807017543868,-1.510526315789473,17.534210526315785,19.25058823529412,0.845739075684525,-3.0727779694683024,17.41541356989137,19.20261716024392,Злаковые,Озимая,-0.8334583739301382,1.5622516536788293,0.1187969564244149
29,353,2023 62.17.07.005.00,Рязань,Пшеница,2022-09-08,2023-08-16,0.49792816262545647,4.37,2.82,0.0122807017543868,-1.510526315789473,17.534210526315785,19.25058823529412,0.845739075684525,-3.0727779694683024,17.41541356989137,19.20261716024392,Злаковые,Озимая,-0.8334583739301382,1.5622516536788293,0.1187969564244149
30,354,2023 62.17.07.008.00,Рязань,Пшеница,2022-09-08,2023-08-17,0.5573248361888667,4.37,3.26,0.0122807017543868,-1.510526315789473,17.534210526315785,19.404651162790696,0.845739075684525,-3.0727779694683024,17.41541356989137,19.42131427588865,Злаковые,Озимая,-0.8334583739301382,1.5622516536788293,0.1187969564244149
31,355,2023 62.17.07.021.00,Рязань,Пшеница,2022-09-08,2023-08-30,0.48673923470765074,4.37,2.74,0.0319327731092445,-0.5126050420168062,18.25546218487394,19.74943820224718,0.6039597184848203,-1.8728426431713103,18.19497801322545,19.68294079263729,Злаковые,Озимая,-0.5720269453755759,1.360237601154504,0.06048417164848985
32,357,2023 62.24.11.010.01,Рязань,Пшеница,2022-09-08,2023-09-29,0.30105380941767024,3.9,1.37,-1.1635658914728677,2.7217054263565883,18.469767441860466,18.816666666666663,-0.3107470127016881,1.109519767351622,18.09549081205253,18.612903119633305,Злаковые,Озимая,-0.8528188787711797,1.6121856590049664,0.37427662980793386
