,field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,yield_plan_full
0,22.47.01.001.01,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,306.22,Скипетр,ЭС,Покупные,минимальная,3.8,243.16,226.93,4.46,5.78,1163.636
1,22.47.01.001.02,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,63.16,(нет сорта),ЭС,Покупные,минимальная,3.0,243.16,226.93,4.46,5.78,189.48
3,22.47.01.003.00,Алтай,пашня,4.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,452.25,Скипетр,ЭС,Покупные,минимальная,3.8,205.15,192.28,6.49,5.94,1718.55
4,22.47.01.004.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,269.64,Скипетр,ЭС,Покупные,минимальная,3.8,183.26,162.69,6.16,5.94,1024.6319999999998
7,22.47.01.006.02,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,63.33,Скипетр,РС-1,Покупные,минимальная,3.8,214.17,215.49,4.4,5.67,240.654
9,22.47.01.007.02,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,85.55,Скипетр,ЭС,Покупные,минимальная,3.8,202.62,188.54,4.84,5.56,325.09
10,22.47.01.008.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,32.32,Скипетр,ЭС,Покупные,минимальная,3.8,273.9,166.65,4.07,5.72,122.81599999999999
12,22.47.01.010.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,56.74,Скипетр,РС-1,Покупные,минимальная,3.8,211.97,166.76,4.51,5.72,215.612
13,22.47.01.011.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,80.95,Скипетр,ЭС,Покупные,минимальная,3.8,275.66,158.84,5.28,5.72,307.61
14,22.47.01.012.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,23.95,Скипетр,ЭС,Покупные,минимальная,3.8,274.12,180.62,4.51,5.72,91.00999999999999
15,22.47.01.013.01,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,421.31,Скипетр,ЭС,Покупные,минимальная,3.8,230.23,190.91,5.39,5.78,1600.9779999999998
19,22.47.01.016.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,11.04,(нет сорта),ЭС,Покупные,минимальная,4.0,173.25,290.95,3.41,6.93,44.16
